split,filename,class
train,image_00190.jpg,passion flower
train,image_00067.jpg,passion flower
train,image_00234.jpg,passion flower
train,image_00241.jpg,passion flower
train,image_00040.jpg,passion flower
train,image_00103.jpg,passion flower
train,image_00232.jpg,passion flower
train,image_00154.jpg,passion flower
train,image_00124.jpg,passion flower
train,image_00016.jpg,passion flower
train,image_00085.jpg,passion flower
train,image_00199.jpg,passion flower
train,image_00218.jpg,passion flower
train,image_00138.jpg,passion flower
train,image_00110.jpg,passion flower
train,image_00164.jpg,passion flower
train,image_00018.jpg,passion flower
train,image_00144.jpg,passion flower
train,image_00171.jpg,passion flower
train,image_00081.jpg,passion flower
train,image_00207.jpg,passion flower
train,image_00092.jpg,passion flower
train,image_00106.jpg,passion flower
train,image_00041.jpg,passion flower
train,image_00140.jpg,passion flower
train,image_00097.jpg,passion flower
train,image_00182.jpg,passion flower
train,image_00223.jpg,passion flower
train,image_00084.jpg,passion flower
train,image_00019.jpg,passion flower
train,image_00245.jpg,passion flower
train,image_00114.jpg,passion flower
train,image_00158.jpg,passion flower
train,image_00037.jpg,passion flower
train,image_00224.jpg,passion flower
train,image_00149.jpg,passion flower
train,image_00188.jpg,passion flower
train,image_00221.jpg,passion flower
train,image_00184.jpg,passion flower
train,image_00050.jpg,passion flower
train,image_00117.jpg,passion flower
train,image_00029.jpg,passion flower
train,image_00135.jpg,passion flower
train,image_00088.jpg,passion flower
train,image_00090.jpg,passion flower
train,image_00119.jpg,passion flower
train,image_00208.jpg,passion flower
train,image_00133.jpg,passion flower
train,image_00181.jpg,passion flower
train,image_00228.jpg,passion flower
train,image_00039.jpg,passion flower
train,image_00014.jpg,passion flower
train,image_00074.jpg,passion flower
train,image_00169.jpg,passion flower
train,image_00193.jpg,passion flower
train,image_00213.jpg,passion flower
train,image_00246.jpg,passion flower
train,image_00013.jpg,passion flower
train,image_00051.jpg,passion flower
train,image_00249.jpg,passion flower
train,image_00072.jpg,passion flower
train,image_00235.jpg,passion flower
train,image_00020.jpg,passion flower
train,image_00102.jpg,passion flower
train,image_00230.jpg,passion flower
train,image_00061.jpg,passion flower
train,image_00064.jpg,passion flower
train,image_00155.jpg,passion flower
train,image_00137.jpg,passion flower
train,image_00175.jpg,passion flower
train,image_00083.jpg,passion flower
train,image_00183.jpg,passion flower
train,image_00068.jpg,passion flower
train,image_00093.jpg,passion flower
train,image_00021.jpg,passion flower
train,image_00022.jpg,passion flower
train,image_00168.jpg,passion flower
train,image_00038.jpg,passion flower
train,image_00212.jpg,passion flower
train,image_00160.jpg,passion flower
train,image_00108.jpg,passion flower
train,image_00015.jpg,passion flower
train,image_00251.jpg,passion flower
train,image_00032.jpg,passion flower
train,image_00036.jpg,passion flower
train,image_00157.jpg,passion flower
train,image_00058.jpg,passion flower
train,image_00210.jpg,passion flower
train,image_00011.jpg,passion flower
train,image_00010.jpg,passion flower
train,image_00087.jpg,passion flower
train,image_00005.jpg,passion flower
train,image_00033.jpg,passion flower
train,image_00209.jpg,passion flower
train,image_00148.jpg,passion flower
train,image_00024.jpg,passion flower
train,image_00191.jpg,passion flower
train,image_00120.jpg,passion flower
train,image_00159.jpg,passion flower
train,image_00216.jpg,passion flower
train,image_00030.jpg,passion flower
train,image_00161.jpg,passion flower
train,image_00077.jpg,passion flower
train,image_00198.jpg,passion flower
train,image_00043.jpg,passion flower
train,image_00147.jpg,passion flower
train,image_00250.jpg,passion flower
train,image_00080.jpg,passion flower
train,image_00070.jpg,passion flower
train,image_00203.jpg,passion flower
train,image_00225.jpg,passion flower
train,image_00163.jpg,passion flower
train,image_00236.jpg,passion flower
train,image_00046.jpg,passion flower
train,image_00105.jpg,passion flower
train,image_00166.jpg,passion flower
train,image_00177.jpg,passion flower
train,image_00065.jpg,passion flower
train,image_00205.jpg,passion flower
train,image_00071.jpg,passion flower
train,image_00194.jpg,passion flower
train,image_00047.jpg,passion flower
train,image_00112.jpg,passion flower
train,image_00062.jpg,passion flower
train,image_00150.jpg,passion flower
train,image_00122.jpg,passion flower
train,image_00341.jpg,water lily
train,image_00384.jpg,water lily
train,image_00369.jpg,water lily
train,image_00288.jpg,water lily
train,image_00314.jpg,water lily
train,image_00258.jpg,water lily
train,image_00394.jpg,water lily
train,image_00299.jpg,water lily
train,image_00269.jpg,water lily
train,image_00293.jpg,water lily
train,image_00315.jpg,water lily
train,image_00374.jpg,water lily
train,image_00323.jpg,water lily
train,image_00350.jpg,water lily
train,image_00285.jpg,water lily
train,image_00283.jpg,water lily
train,image_00331.jpg,water lily
train,image_00343.jpg,water lily
train,image_00363.jpg,water lily
train,image_00420.jpg,water lily
train,image_00427.jpg,water lily
train,image_00371.jpg,water lily
train,image_00279.jpg,water lily
train,image_00383.jpg,water lily
train,image_00431.jpg,water lily
train,image_00336.jpg,water lily
train,image_00333.jpg,water lily
train,image_00387.jpg,water lily
train,image_00254.jpg,water lily
train,image_00260.jpg,water lily
train,image_00318.jpg,water lily
